Régime prioritaire,Régime particulier,Nombre total de vélos,Arrondissement,Adr_emplacement,latitude,longitude
2 ROUES,Vélos,10,15,17 RUE AUGUSTE CHABRIERES Paris 15,48.82286065423787,2.362581177241025
2 ROUES,Vélos,16,3,2 RUE DES HAUDRIETTES Paris 3,48.83177827754562,2.344671722328076
2 ROUES,Vélos,3,16,3 RUE CHANEZ Paris 16,48.83030296743827,2.365922559816069
2 ROUES,Vélos,3,10,63 RUE BICHAT Paris 10,48.824449409701984,2.3612120862601915
2 ROUES,Vélos,12,17,7 RUE FOURNEYRON Paris 17,48.855182857913064,2.3903890315903102
2 ROUES,Vélos,9,14,16 RUE NIEPCE Paris 14,48.858902608245685,2.382558138392677
2 ROUES,Vélos,8,10,53 RUE LOUIS BLANC Paris 10,48.855176927936476,2.3696774855305933
2 ROUES,Vélos,6,10,4 RUE LEON JOUHAUX Paris 10,48.86054567968226,2.318689087862837
2 ROUES,Vélos,6,19,17 AV DE LA PORTE BRUNET Paris 19,48.85696321573581,2.372407785443845
2 ROUES,Vélos,8,15,35 RUE DE CRONSTADT Paris 15,48.868320583878045,2.383851554934278
2 ROUES,Vélos,14,20,26 RUE MARYSE HILSZ Paris 20,48.86952709819381,2.3819224767695655
2 ROUES,Vélos,16,7, RUE VELPEAU Paris 7,48.86975384245841,2.3821195818913585
2 ROUES,Vélos,14,11,15 RUE ROBERT ET SONIA DELAUNAY Paris 11,48.845793931558944,2.268316023445742
2 ROUES,Vélos,10,15,101 AV EMILE ZOLA Paris 15,48.88134578888798,2.292724755874897
2 ROUES,Vélos,3,11,22 RUE TITON Paris 11,48.841142246733966,2.3439583048805193
2 ROUES,Vélos,20,9,22 RUE BALLU Paris 9,48.841107647881515,2.344043203450316
2 ROUES,Vélos,6,17,6 RUE GEORGES BERGER Paris 17,48.840029090046954,2.3467851405968054
2 ROUES,Vélos,12,18,27 BD BARBES Paris 18,48.88079048686192,2.290067850692991
2 ROUES,Vélos,14,12,22 RUE DE MONTEMPOIVRE Paris 12,48.840540025709984,2.3086623101887143
2 ROUES,Vélos,10,19,27 RUE DE BELLEVUE Paris 19,48.855306622239006,2.278970671280061
2 ROUES,Vélos,6,14,35 RUE FRIANT Paris 14,48.879651342171364,2.3215073568901636
2 ROUES,Vélos,12,18,2 RUE FREDERIC SCHNEIDER Paris 18,48.87994610608966,2.3636593494082114
2 ROUES,Vélos,14,18,2 RUE DE LAGHOUAT Paris 18,48.84161058371625,2.3025432464132
2 ROUES,Vélos,10,10,82 RUE D' HAUTEVILLE Paris 10,48.88569848733077,2.349204261700432
2 ROUES,Vélos,8,5,6 RUE D' ULM Paris 5,48.88609852899732,2.366330084730643
2 ROUES,Vélos,10,2,18 RUE GRENETA Paris 2,48.855286025539996,2.410130002153396
2 ROUES,Vélos,3,14,47 AV RENE COTY Paris 14,48.843110656188266,2.4101232979693585
2 ROUES,Vélos,68,5,22 RUE DE LA SORBONNE Paris 5,48.88764262571087,2.300112033469923
2 ROUES,Vélos,5,11,1 RUE DE LA MAIN D'OR Paris 11,48.83080495806138,2.312074615419022
2 ROUES,Vélos,2,19,8 RUE DE BELLEVILLE Paris 19,48.86687167817538,2.306690155488257
2 ROUES,Vélos,18,12,7 RUE CHANGARNIER Paris 12,48.859205459159405,2.4097791916964804
2 ROUES,Vélos,5,6,122 RUE DU CHERCHE-MIDI Paris 6,48.89465321754605,2.317157201459731
2 ROUES,Vélos,10,11, RUE SERVAN Paris 11,48.84790885655872,2.2721042891110956
2 ROUES,Vélos,4,20,233 RUE DES PYRENEES Paris 20,48.846351622551914,2.2946707214532402
2 ROUES,Vélos,2,12,2 RUE DE CITEAUX Paris 12,48.877221634752146,2.344563611163631
